IceMultiplier,SalinityAnomaly,N,Hg0_water_median,Hg0_water_mean,HgII_water_median,HgII_water_mean,MLD_median,MLD_mean,AS_median,AS_mean,Net_median,Net_mean,Red_UVA_median,Red_UVA_mean,Ox_UVA_median,Ox_UVA_mean,SeaIce_median,SeaIce_mean,Salinity_median,Salinity_mean,n_shift
1,0,124,0.140630619478579,0.131828739252045,0.759073115504791,0.772603932035634,14.38490855,12.9698508712676,0.133724268925386,0.171068940339107,0.0751559978934641,0.0905301004720424,0.000903644050638556,0.00161097031234866,0.00662041511135787,0.0138096193191465,0.60659,0.492567016129032,29.8415,29.5296532258064,0
1,-0.25,124,0.132907142845642,0.125459335155608,0.761402027218276,0.765726433533988,13.50148355,12.1878553421936,0.123775093724342,0.15818255782893,0.0713549341416088,0.0837334782054359,0.000930422866147327,0.00161398178263427,0.00662757419899364,0.0146450155700055,0.60659,0.492567016129032,29.5915,29.2796532258064,0
1,-0.5,124,0.124340513876088,0.119005079165928,0.764782710914459,0.763574314956244,12.61805855,11.4120973306345,0.11459772402026,0.145898942237703,0.0670723005406366,0.0739100768721587,0.00095598542659587,0.00160919751537031,0.0065739164231892,0.0157557294450784,0.60659,0.492567016129032,29.3415,29.0296532258064,0
1,-0.75,124,0.116611735127439,0.111988942320899,0.766196505399796,0.76589360508749,11.73463355,10.6414679455496,0.102598923911828,0.133628333712888,0.0597684872494108,0.0619541740061174,0.000980376925951418,0.00159679810385436,0.00714828584249357,0.0172194471547231,0.60659,0.492567016129032,29.0915,28.7796532258064,0
1,-1,124,0.108243847347015,0.104843419435344,0.761493043595808,0.771335303680824,10.85120855,9.87511822363533,0.0918945080440075,0.121389216178684,0.0485439068617271,0.0483753079113166,0.00100359990594125,0.00157711575548265,0.00771876916707194,0.0191287084940814,0.60659,0.492567016129032,28.8415,28.5296532258064,0
0.75,0,124,0.130965058004446,0.124419016553608,0.754988234936581,0.76451199148125,14.38490855,12.9698508712676,0.167207831810663,0.210125477454421,0.108818111727796,0.115647935718792,0.00127915829753395,0.00187491759815024,0.0091455718104393,0.0160005230549087,0.4549425,0.369425262096774,29.8415,29.5296532258064,0
0.75,-0.25,124,0.124779895529393,0.118529307236722,0.756341549693433,0.757239300631286,13.50148355,12.1878553421936,0.149331613793148,0.194620134770693,0.105837303966919,0.108687890253701,0.00131706519686225,0.00188488913057091,0.0088860822452717,0.0168767891226043,0.4549425,0.369425262096774,29.5915,29.2796532258064,0
0.75,-0.5,124,0.118173063841212,0.112623816473579,0.755552523508315,0.755661600763036,12.61805855,11.4120973306345,0.139345955980693,0.180063099026598,0.0953273558119461,0.0979411997679133,0.00135325041966194,0.00188647388076838,0.00934213485223861,0.0180889027465412,0.4549425,0.369425262096774,29.3415,29.0296532258064,0
0.75,-0.75,124,0.11055914569525,0.106230251926645,0.74925667581739,0.759513155934099,11.73463355,10.6414679455496,0.126339171742003,0.16550074329911,0.0843421289333699,0.0845227134894263,0.00138777794050147,0.00187989322441393,0.0100984011964014,0.0197332934500669,0.4549425,0.369425262096774,29.0915,28.7796532258064,0
0.75,-1,124,0.103966772306121,0.0997079385485122,0.750643016590972,0.767146733663696,10.85120855,9.87511822363533,0.113841907105615,0.150953397310344,0.0669301009117012,0.0691327556340511,0.00142065135733685,0.00186546969754095,0.0110897169722653,0.0218963627973184,0.4549425,0.369425262096774,28.8415,28.5296532258064,0
0.5,0,124,0.124392023642694,0.119501594762196,0.753669404111881,0.763485369938567,14.38490855,12.8312375282101,0.184956515993156,0.243562596563832,0.133836561675252,0.135149405811229,0.00165762494848817,0.00218640913389491,0.0116910145802635,0.0186074681129246,0.303295,0.246283508064516,29.8415,29.5296532258064,10
0.5,-0.25,124,0.119446533011624,0.114066648125606,0.759032281986734,0.755740214055235,13.50148355,12.1002817910154,0.172999576427415,0.226026448111945,0.123423098173546,0.129016727419693,0.00170588340636469,0.00218632843965934,0.0114478346841997,0.0193735690445688,0.303295,0.246283508064516,29.5915,29.2796532258064,10
0.5,-0.5,124,0.113810890030885,0.108632526606531,0.753906730923055,0.754316728428736,12.61805855,11.377711126226,0.16129907725824,0.209695596495777,0.116076417997799,0.118405600533605,0.00175194957210925,0.00217551977922587,0.0120833186585863,0.0204823493961375,0.303295,0.246283508064516,29.3415,29.0296532258064,10
0.5,-0.75,124,0.107853067111919,0.10272756477158,0.748203057113709,0.759013724679669,11.73463355,10.6620501223926,0.150439569633583,0.193259727727875,0.100824682540623,0.104720186019756,0.00179588935927088,0.00215465941668062,0.0130528603962251,0.0220242638922933,0.303295,0.246283508064516,29.0915,28.7796532258064,10
0.5,-1,124,0.101592821423423,0.096646208896657,0.746707972764543,0.767994770478021,10.85120855,9.95216705049043,0.138030175225994,0.176678272106383,0.0791471626177457,0.0889183177240694,0.00183770280873246,0.00212444181744039,0.014231438508376,0.0240459435671692,0.303295,0.246283508064516,28.8415,28.5296532258064,10
0.25,0,124,0.119276574235191,0.115471751874393,0.764582947635935,0.770602223493042,13.40607365,12.1788272838831,0.220218663772687,0.272579149706752,0.141053045282079,0.145909478997649,0.00204856378348387,0.00261833595165153,0.0152994155278531,0.0221915383705741,0.1516475,0.123141754032258,29.8415,29.5296532258064,38
0.25,-0.25,124,0.113075477148868,0.110560733309441,0.767855983893559,0.762324475047027,12.52264865,11.5440120683848,0.206607770122979,0.253733856405114,0.137322047171951,0.141489733183412,0.0021172929314627,0.0025982134472248,0.0153407203265495,0.0227950277280633,0.1516475,0.123141754032258,29.5915,29.2796532258064,38
0.25,-0.5,124,0.108117649706706,0.105641477930215,0.764156657036776,0.760596885934927,11.63922365,10.9361012343358,0.190744687182013,0.236311701009996,0.122294401184061,0.131965540637116,0.0021738180033759,0.00256036452263087,0.0157531149383865,0.0237172194912562,0.1516475,0.123141754032258,29.3415,29.0296532258064,38
0.25,-0.75,124,0.10323936807297,0.100238932425925,0.751272527919186,0.765373981056593,10.75579865,10.3480432507547,0.171498477753699,0.218661010639966,0.107498817659272,0.118989538654438,0.00224157442814297,0.00250655376793756,0.0162390897798078,0.0250231619871954,0.1516475,0.123141754032258,29.0915,28.7796532258064,38
0.25,-1,124,0.098270794838831,0.0945958756911834,0.751742296842916,0.774675234076418,9.87237365,9.77540235420281,0.157991403103234,0.200687449417,0.089232746705241,0.103739310178494,0.00230405272743243,0.00243853687184356,0.017831612582652,0.0267026361657109,0.1516475,0.123141754032258,28.8415,28.5296532258064,38
0,0,124,0.1074322651001,0.106602969800234,0.771471778482063,0.778258421146439,9.00550634107341,10.2452065491592,0.228631834065168,0.293883299384099,0.127059113109966,0.144692769214097,0.00345206852031385,0.00329297493228149,0.0250400367866603,0.0274689283259432,0,0,29.8415,29.5296532258064,102
0,-0.25,124,0.105922234861509,0.101627478328333,0.774263556368401,0.773346793937584,8.607802602193,9.32764384291825,0.21698631399218,0.271425079167175,0.119097430902103,0.132924849211987,0.00347170982498222,0.00331990700647585,0.0257149020667666,0.0282953986692099,0,0,29.5915,29.2796532258064,102
0,-0.5,124,0.102707177676553,0.0972789076339793,0.781838774485942,0.772741050302545,8.20480175108291,8.68764084381307,0.202267346220707,0.253104072694673,0.107145955035631,0.122653571297387,0.00347249908540269,0.00330236292063993,0.0265998169158565,0.029311809543418,0,0,29.3415,29.0296532258064,102
0,-0.75,124,0.0987888621804934,0.0927319900795902,0.778313639287209,0.77748352867406,7.88513570602009,8.1940128450541,0.187145585196422,0.235299479099702,0.0965147006417151,0.110846710367799,0.00340506105163778,0.00324747244245589,0.0280113732678819,0.0307074383462769,0,0,29.0915,28.7796532258064,102
0,-1,124,0.0936864134612582,0.0880673955944024,0.777374717564209,0.786217635196338,7.5529028768314,7.79261290363852,0.174042342099494,0.217349333170118,0.0808997894495445,0.0974560329649777,0.00325701480703409,0.00316016809500295,0.029338766450614,0.032421654544491,0,0,28.8415,28.5296532258064,102
