Lat,Temperature,Salinity,DGM,ICE,WS,GEM
74.12251055,0.816,27.137,0.037,0.0000,6.946,1.199
74.47481521,-0.146,26.951,0.042,0.2726,1.903,1.135
74.55128554,-0.356,27.423,0.051,0.2807,3.466,1.111
74.66220997,-0.405,28.054,0.061,0.4320,3.920,1.148
74.736151,-0.386,28.408,0.071,0.2180,4.210,1.139
74.7928271,-0.458,28.775,0.066,0.1244,5.671,1.050
74.81885183,-0.394,28.596,0.061,0.0918,8.036,1.023
74.84875026,-0.378,27.905,0.078,0.2245,8.499,1.042
74.89669075,-0.457,27.869,0.084,0.2329,7.794,1.128
74.94654796,-0.440,27.682,0.088,0.2792,9.128,1.215
74.99684871,-0.405,27.560,0.087,0.3614,7.579,1.237
75.0268831,-0.418,27.641,0.089,0.6001,5.549,1.230
75.03423388,-0.443,27.643,0.109,0.5022,4.723,1.206
75.0271124,-0.403,27.816,0.110,0.3530,3.978,1.209
75.03004746,-0.406,27.891,0.101,0.1460,2.847,1.198
75.069474,-0.299,27.946,0.096,0.0000,2.960,1.185
75.09035874,-0.296,27.957,0.096,0.0000,3.015,1.188
75.08785403,-0.204,28.001,0.107,0.0000,2.721,1.192
75.47883829,0.539,27.563,0.067,0.0000,5.262,1.128
75.56396094,0.529,27.595,0.083,0.0000,7.959,1.270
75.7085761,0.521,27.597,0.086,0.0000,9.196,1.263
75.87066646,0.218,27.863,0.093,0.0000,9.630,1.240
75.90507231,0.194,27.780,0.086,0.0000,10.456,1.216
75.8627201,0.164,27.803,0.087,0.0000,10.545,1.217
75.92058262,0.087,27.908,0.098,0.0000,8.381,1.215
75.97266208,0.185,27.758,0.089,0.0000,8.291,1.203
76.03532781,0.073,28.019,0.102,0.0000,11.192,1.208
76.05993124,-0.062,28.280,0.101,0.0000,10.695,1.210
76.08347358,-0.404,28.753,0.113,0.0000,9.735,1.180
76.06411143,-0.428,28.732,0.123,0.0000,9.983,1.179
76.16450406,-0.414,28.710,0.115,0.0058,10.676,1.170
76.32153417,-0.452,28.810,0.120,0.0657,10.310,1.169
76.39173179,-0.472,28.784,0.119,0.0420,11.722,1.170
76.46024695,-0.518,28.787,0.123,0.0984,12.238,1.170
76.63483914,-0.622,29.032,0.128,0.2682,11.582,1.172
76.82675457,-0.574,29.024,0.118,0.0821,11.670,1.179
77.01875657,-0.639,29.073,0.130,0.3206,10.923,1.179
77.16199926,-0.696,29.076,0.132,0.3917,9.585,1.176
77.27401518,-0.692,29.291,0.129,0.4925,10.108,1.166
77.42965529,-0.643,29.719,0.120,0.4289,10.268,1.153
77.60876989,-0.664,29.884,0.135,0.4599,8.633,1.145
77.79398249,-0.674,29.970,0.144,0.4796,7.134,1.137
77.93655847,-0.659,29.912,0.133,0.3382,8.166,1.145
78.05602846,-0.706,29.946,0.128,0.5303,7.303,1.131
78.18207068,-0.557,30.083,0.159,0.6666,6.711,1.140
79.13344912,-0.553,30.759,0.141,0.7139,2.476,1.149
79.31528778,-0.531,30.494,0.156,0.7490,2.213,1.152
79.475892,-0.692,30.447,0.159,0.8261,1.922,1.153
79.63385975,-0.639,30.121,0.162,0.7247,3.424,1.155
79.78973193,-0.619,30.007,0.170,0.7524,4.146,1.141
79.90961072,-0.624,29.948,0.175,0.7841,6.587,1.139
79.95561915,-0.474,29.880,0.149,0.8860,6.972,1.136
79.96233996,-0.462,29.772,0.156,0.8792,6.844,1.130
80.09364026,-0.678,30.229,0.134,0.7740,6.868,1.127
80.2540109,-0.404,30.770,0.087,0.7667,7.241,1.119
80.38398103,-0.554,30.937,0.152,0.7006,8.011,1.123
80.50662438,-0.390,31.104,0.155,0.8334,6.007,1.128
80.61872275,-0.670,31.002,0.164,0.6199,5.029,1.126
80.62393983,-0.651,31.005,0.171,0.6199,5.322,1.127
80.62512454,-0.656,31.007,0.162,0.6199,6.559,1.125
80.63218799,-0.657,31.013,0.174,0.6090,8.834,1.134
80.63722324,-0.644,31.013,0.174,0.6090,10.544,1.125
80.64535064,-0.646,31.013,0.167,0.6090,10.055,1.123
80.65659196,-0.658,31.012,0.167,0.6090,10.723,1.126
80.66107463,-0.678,31.015,0.174,0.6242,10.419,1.128
80.67039592,-0.677,31.033,0.166,0.6242,9.488,1.135
80.70058383,-0.814,30.948,0.169,0.6494,9.420,1.123
80.59713864,-0.732,31.047,0.180,0.7480,8.618,1.115
80.45258158,-0.550,31.057,0.169,0.8252,9.551,1.129
80.33916342,-0.821,30.718,0.172,0.8231,10.699,1.133
80.25870821,-0.780,30.347,0.176,0.8425,10.071,1.155
80.17746017,-0.666,30.371,0.178,0.8649,11.534,1.182
80.07815883,-0.651,30.197,0.173,0.8151,13.073,1.214
79.67032967,-0.387,30.041,0.192,0.7600,10.123,1.143
79.671384,-0.380,30.099,0.219,0.7600,11.481,1.118
79.66057817,-0.429,30.069,0.196,0.7569,10.822,1.122
